folio,fecha,hora_inicio,hora_fin,duracion_min,encuestador_id,encuestador_nombre,seccion,satisfaccion_amlo,satisfaccion_cs,programas_bienestar,sabia_designacion,conoce_ivan,opinion_ivan,cercania_ivan,representa_4t,intencion_voto,descripcion_ivan,prioridad_gobernador,edad,sexo,nivel_educativo,recibe_bienestar
IGU-4232,2025-06-12,13:41,13:58,17.1,E57,Marcela Gutiérrez,1515,Muy satisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,No lo conozco bien,Seguridad,24,Hombre,Secundaria,Sí
IGU-4233,2025-06-12,11:28,11:39,11.2,E57,Marcela Gutiérrez,1549,Satisfecho,Regular,Algo,No lo sabía y no me interesa,No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,58,Mujer,Universidad,Sí
IGU-4234,2025-06-12,15:27,15:41,14.5,E57,Marcela Gutiérrez,1549,Muy satisfecho,Muy satisfecho,Nada,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,"Sí, totalmente","Sí, con seguridad",No tengo una opinión clara,Programas sociales,50,Hombre,Preparatoria,No
IGU-4235,2025-06-12,15:36,15:44,8.3,E57,Marcela Gutiérrez,1549,Satisfecho,Insatisfecho,Nada,"Sí, lo sabía",Sí,Buena,Poco cercano,En parte,No,No lo conozco bien,Seguridad,62,Hombre,Secundaria,No
IGU-4236,2025-06-12,09:30,09:39,9.5,E57,Marcela Gutiérrez,1549,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,"Sí, totalmente",No,No lo conozco bien,Programas sociales,70,Hombre,Primaria,Sí
IGU-4237,2025-06-12,13:57,14:14,17.3,E56,Fabiola Olvera,1487,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente",No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,48,Mujer,Preparatoria,Sí
IGU-4238,2025-06-12,09:56,10:08,12.0,E56,Fabiola Olvera,1487,Regular,Insatisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No,No sabe / No contesta,Es un operador del gobierno federal,Empleo / economía,45,Hombre,Preparatoria,Sí
IGU-4239,2025-06-12,10:18,10:35,17.4,E56,Fabiola Olvera,1487,Regular,Regular,Algo,"Sí, lo sabía",No,No aplica,No sabe / No contesta,No,"Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,60,Mujer,Secundaria,Sí
IGU-4240,2025-06-12,09:23,09:35,12.8,E56,Fabiola Olvera,1487,Satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,Sí,Muy buena,No sabe / No contesta,"Sí, totalmente",Probablemente sí,No tengo una opinión clara,Infraestructura,38,Mujer,Secundaria,No
IGU-4241,2025-06-12,16:51,16:58,7.5,E56,Fabiola Olvera,1487,Regular,Muy satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Poco cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Programas sociales,35,Hombre,Universidad,Sí
IGU-4242,2025-06-12,15:37,15:52,15.7,E56,Fabiola Olvera,1487,Muy satisfecho,Regular,Poco,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,64,Hombre,Preparatoria,No
IGU-4243,2025-06-12,11:58,12:09,11.2,E56,Fabiola Olvera,1487,Muy satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,No,Probablemente no,No lo conozco bien,Educación,63,Otro,Secundaria,Sí
IGU-4244,2025-06-12,16:21,16:36,15.1,E56,Fabiola Olvera,1511,Insatisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,En parte,Probablemente sí,No lo conozco bien,Empleo / economía,27,Hombre,Posgrado,Sí
IGU-4245,2025-06-12,11:00,11:13,13.1,E56,Fabiola Olvera,1487,Regular,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,En parte,Probablemente no,Es un operador del gobierno federal,Programas sociales,67,Hombre,Preparatoria,Sí
IGU-4246,2025-06-12,09:18,09:26,8.4,E56,Fabiola Olvera,1487,Satisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,"Sí, totalmente",No,No lo conozco bien,Empleo / economía,71,Hombre,Preparatoria,Sí
IGU-4247,2025-06-12,14:29,14:42,13.5,E56,Fabiola Olvera,1536,Regular,Muy satisfecho,Nada,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No,Probablemente no,No lo conozco bien,Educación,25,Hombre,Preparatoria,Sí
IGU-4248,2025-06-12,14:55,15:14,19.6,E56,Fabiola Olvera,1564,Regular,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,"Sí, totalmente",Probablemente no,No lo conozco bien,Empleo / economía,19,Hombre,Secundaria,Sí
IGU-4249,2025-06-12,10:21,10:35,14.5,E56,Fabiola Olvera,1533,Satisfecho,Muy satisfecho,Nada,No lo sabía y no me interesa,No,No aplica,Poco cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,22,Mujer,Posgrado,Sí
IGU-4250,2025-06-12,15:02,15:14,12.8,E32,Ana García,1563,Satisfecho,Satisfecho,Mucho,No sabe / No contesta,Sí,Buena,No sabe / No contesta,"Sí, totalmente","Sí, con seguridad",No tengo una opinión clara,Programas sociales,45,Mujer,Secundaria,Sí
IGU-4251,2025-06-12,16:54,17:10,16.2,E32,Ana García,1563,Muy satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No sabe / No contesta,Probablemente sí,No lo conozco bien,Seguridad,20,Mujer,Secundaria,Sí
IGU-4252,2025-06-12,13:22,13:35,13.6,E32,Ana García,1563,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Muy buena,Algo cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,66,Hombre,Secundaria,No
IGU-4253,2025-06-12,09:06,09:19,13.6,E32,Ana García,1563,Satisfecho,Regular,Mucho,"Sí, lo sabía",Sí,Buena,Algo cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Educación,50,Mujer,Secundaria,Sí
IGU-4254,2025-06-12,09:38,09:47,9.7,E32,Ana García,1563,Muy satisfecho,Regular,Nada,No lo sabía y no me interesa,Sí,Buena,Poco cercano,No,No,Es una persona de trabajo y territorio,Seguridad,32,Hombre,Secundaria,No
IGU-4255,2025-06-12,09:51,10:04,13.7,E32,Ana García,1563,Satisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Mala,Muy cercano,No,No sabe / No contesta,Es una persona de trabajo y territorio,Seguridad,18,Hombre,Preparatoria,No
IGU-4256,2025-06-12,15:40,15:56,16.1,E32,Ana García,1563,Satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Muy cercano,No,Probablemente no,Es un operador del gobierno federal,Educación,72,Hombre,Primaria,Sí
IGU-4257,2025-06-12,11:22,11:32,10.5,E50,Teresa Montes,1560,Satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,Sí,Regular,No sabe / No contesta,En parte,No sabe / No contesta,No tengo una opinión clara,Educación,35,Hombre,Secundaria,Sí
IGU-4258,2025-06-12,16:49,17:06,17.3,E50,Teresa Montes,1488,Insatisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Salud,51,Mujer,Universidad,No
IGU-4259,2025-06-12,14:23,14:35,12.7,E50,Teresa Montes,1488,Regular,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Seguridad,58,Hombre,Preparatoria,No
IGU-4260,2025-06-12,13:34,13:44,10.3,E50,Teresa Montes,1488,Satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,No,Probablemente sí,Es un operador del gobierno federal,Programas sociales,74,Hombre,Universidad,Sí
IGU-4261,2025-06-12,11:10,11:26,16.0,E50,Teresa Montes,1481,Regular,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,50,Mujer,Posgrado,Sí
IGU-4262,2025-06-12,14:00,14:12,12.1,E50,Teresa Montes,1488,Regular,Insatisfecho,Algo,No sabe / No contesta,No,No aplica,Poco cercano,En parte,"Sí, con seguridad",No lo conozco bien,Programas sociales,40,Hombre,Secundaria,Sí
IGU-4263,2025-06-12,09:28,09:43,15.3,E50,Teresa Montes,1488,Muy satisfecho,Regular,Algo,"Sí, lo sabía",Sí,Mala,Muy cercano,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Programas sociales,31,Hombre,Secundaria,No
IGU-4264,2025-06-12,11:30,11:42,12.1,E50,Teresa Montes,1488,Regular,Satisfecho,Mucho,"Sí, lo sabía",No,No aplica,No sabe / No contesta,"Sí, totalmente",No,No tengo una opinión clara,Seguridad,74,Mujer,Universidad,Sí
IGU-4265,2025-06-12,10:41,10:53,12.8,E50,Teresa Montes,1547,Muy satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No,Probablemente no,No lo conozco bien,Educación,59,Mujer,Primaria,No
IGU-4266,2025-06-12,10:37,10:51,14.5,E50,Teresa Montes,1488,Regular,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Algo cercano,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Programas sociales,63,Hombre,Preparatoria,Sí
IGU-4267,2025-06-12,15:52,16:05,13.9,E50,Teresa Montes,1488,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,"Sí, totalmente",No sabe / No contesta,No tengo una opinión clara,Empleo / economía,63,Hombre,Secundaria,No
IGU-4268,2025-06-12,09:38,09:45,7.0,E50,Teresa Montes,1488,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Muy buena,Poco cercano,"Sí, totalmente",No,No tengo una opinión clara,Programas sociales,28,Hombre,Primaria,Sí
IGU-4269,2025-06-12,10:09,10:18,9.6,E50,Teresa Montes,1488,Muy satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente","Sí, con seguridad",No lo conozco bien,Empleo / economía,75,Hombre,Preparatoria,Sí
IGU-4270,2025-06-12,11:12,11:27,15.8,E50,Teresa Montes,1488,Satisfecho,Muy satisfecho,Poco,No lo sabía y no me interesa,Sí,Muy buena,No sabe / No contesta,En parte,Probablemente no,Es un operador del gobierno federal,Salud,70,Hombre,Secundaria,Sí
IGU-4271,2025-06-12,10:26,10:38,12.6,E50,Teresa Montes,1488,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No,"Sí, con seguridad",No lo conozco bien,Educación,55,Mujer,Secundaria,No
IGU-4272,2025-06-12,15:44,15:55,11.4,E14,Manuel Ortega,1488,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,Regular,Muy cercano,No sabe / No contesta,No sabe / No contesta,Es un operador del gobierno federal,Seguridad,62,Hombre,Preparatoria,No
IGU-4273,2025-06-12,10:39,10:47,8.9,E14,Manuel Ortega,1488,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Regular,Algo cercano,En parte,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,75,Hombre,Preparatoria,Sí
IGU-4274,2025-06-12,09:08,09:17,9.8,E14,Manuel Ortega,1488,Satisfecho,Satisfecho,Algo,"Sí, lo sabía",No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,Es una persona de trabajo y territorio,Educación,51,Hombre,Secundaria,No
IGU-4275,2025-06-12,09:11,09:17,6.9,E14,Manuel Ortega,1494,Muy satisfecho,Regular,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Educación,41,Mujer,Secundaria,No
IGU-4276,2025-06-12,09:49,10:01,12.7,E14,Manuel Ortega,1488,Satisfecho,Insatisfecho,Poco,No lo sabía y no me interesa,Sí,Buena,Algo cercano,"Sí, totalmente",No,No tengo una opinión clara,Programas sociales,64,Hombre,Preparatoria,No
IGU-4277,2025-06-12,11:43,11:54,11.2,E14,Manuel Ortega,1488,Muy satisfecho,Muy satisfecho,Poco,No sabe / No contesta,No,No aplica,Poco cercano,No sabe / No contesta,Probablemente sí,Es una persona de trabajo y territorio,Empleo / economía,24,Mujer,Universidad,Sí
IGU-4278,2025-06-12,16:48,16:58,10.1,E14,Manuel Ortega,1488,Muy satisfecho,Regular,Nada,"Sí, lo sabía",Sí,Muy buena,Algo cercano,"Sí, totalmente",Probablemente no,Es una persona de trabajo y territorio,Empleo / economía,50,Mujer,Preparatoria,Sí
IGU-4279,2025-06-12,14:58,15:10,12.8,E14,Manuel Ortega,1488,Muy satisfecho,Regular,Algo,"Sí, lo sabía",No,No aplica,Poco cercano,No sabe / No contesta,"Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,57,Hombre,Preparatoria,No
IGU-4280,2025-06-12,14:07,14:21,14.1,E14,Manuel Ortega,1488,Insatisfecho,Muy satisfecho,Algo,No lo sabía y no me interesa,Sí,Buena,Muy cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Infraestructura,66,Mujer,Secundaria,Sí
IGU-4281,2025-06-12,16:38,16:57,19.3,E14,Manuel Ortega,1488,Muy satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,En parte,No sabe / No contesta,No lo conozco bien,Seguridad,72,Hombre,Preparatoria,Sí
IGU-4282,2025-06-12,15:01,15:09,8.5,E14,Manuel Ortega,1488,Satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,Algo cercano,"Sí, totalmente",Probablemente sí,Es un operador del gobierno federal,Salud,23,Hombre,Primaria,Sí
IGU-4283,2025-06-12,14:10,14:26,16.5,E14,Manuel Ortega,1488,Satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Poco cercano,"Sí, totalmente",No sabe / No contesta,Es un operador del gobierno federal,Seguridad,54,Hombre,Preparatoria,No
IGU-4284,2025-06-12,15:19,15:34,15.9,E14,Manuel Ortega,1488,Satisfecho,Muy satisfecho,Algo,No sabe / No contesta,Sí,Muy buena,Muy cercano,En parte,Probablemente sí,Es una persona de trabajo y territorio,Educación,57,Hombre,Universidad,No
IGU-4285,2025-06-12,16:10,16:20,10.7,E14,Manuel Ortega,1500,Regular,Satisfecho,Mucho,No sabe / No contesta,Sí,Regular,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,69,Hombre,Secundaria,No
IGU-4286,2025-06-12,15:44,15:57,13.6,E14,Manuel Ortega,1488,Muy satisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,No sabe / No contesta,No sabe / No contesta,No lo conozco bien,Salud,27,Hombre,Primaria,Sí
IGU-4287,2025-06-12,13:28,13:39,11.6,E14,Manuel Ortega,1488,Satisfecho,Muy satisfecho,Mucho,No lo sabía y no me interesa,Sí,Regular,Algo cercano,No sabe / No contesta,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,58,Mujer,Secundaria,Sí
IGU-4288,2025-06-12,14:40,14:53,13.6,E14,Manuel Ortega,1488,Insatisfecho,Muy satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,Muy cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Seguridad,40,Hombre,Preparatoria,Sí
IGU-4289,2025-06-12,13:51,14:08,17.5,E14,Manuel Ortega,1488,Insatisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Regular,Poco cercano,En parte,Probablemente no,No lo conozco bien,Seguridad,34,Mujer,Primaria,Sí
IGU-4290,2025-06-12,14:11,14:25,14.8,E28,Daniel Peralta,1494,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,En parte,No sabe / No contesta,No lo conozco bien,Educación,73,Mujer,Universidad,No
IGU-4291,2025-06-12,15:29,15:43,14.5,E28,Daniel Peralta,1494,Satisfecho,Regular,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,No sabe / No contesta,No sabe / No contesta,Es una persona de trabajo y territorio,Empleo / economía,75,Hombre,Universidad,Sí
IGU-4292,2025-06-12,14:17,14:28,11.7,E28,Daniel Peralta,1532,Regular,Muy satisfecho,Mucho,"Sí, lo sabía",Sí,No sabe / No contesta,Algo cercano,No sabe / No contesta,Probablemente sí,No tengo una opinión clara,Seguridad,51,Otro,Preparatoria,Sí
IGU-4293,2025-06-12,11:03,11:11,8.5,E28,Daniel Peralta,1494,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,No sabe / No contesta,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Programas sociales,19,Hombre,Secundaria,Sí
IGU-4294,2025-06-12,15:39,15:51,12.4,E28,Daniel Peralta,1504,Satisfecho,Muy satisfecho,Algo,"Sí, lo sabía",No,No aplica,Algo cercano,"Sí, totalmente",Probablemente sí,Es una persona de trabajo y territorio,Educación,24,Mujer,Primaria,No
IGU-4295,2025-06-12,14:01,14:17,16.6,E28,Daniel Peralta,1494,Muy satisfecho,Satisfecho,Mucho,"Sí, lo sabía",Sí,Muy buena,Algo cercano,No,Probablemente sí,Es un operador del gobierno federal,Programas sociales,33,Mujer,Primaria,Sí
IGU-4296,2025-06-12,10:59,11:07,8.4,E28,Daniel Peralta,1506,Insatisfecho,Muy satisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Muy buena,Poco cercano,No,"Sí, con seguridad",No lo conozco bien,Programas sociales,30,Hombre,Secundaria,No
IGU-4297,2025-06-12,12:31,12:40,9.8,E28,Daniel Peralta,1494,Satisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,No sabe / No contesta,No lo conozco bien,Programas sociales,73,Hombre,Primaria,Sí
IGU-4298,2025-06-12,12:44,12:57,13.4,E28,Daniel Peralta,1494,Regular,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Regular,Algo cercano,No,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,39,Mujer,Preparatoria,No
IGU-4299,2025-06-12,10:35,10:45,10.0,E28,Daniel Peralta,1494,Satisfecho,Satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,En parte,Probablemente no,No lo conozco bien,Seguridad,54,Otro,Preparatoria,No
IGU-4300,2025-06-12,13:09,13:19,10.6,E28,Daniel Peralta,1548,Satisfecho,Insatisfecho,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Empleo / economía,27,Hombre,Preparatoria,No
IGU-4301,2025-06-12,11:12,11:23,11.7,E28,Daniel Peralta,1494,Muy satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No sabe / No contesta,No,Es un operador del gobierno federal,Salud,73,Mujer,Secundaria,No
IGU-4302,2025-06-12,15:43,15:51,8.9,E28,Daniel Peralta,1498,Insatisfecho,Satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Muy cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,46,Mujer,Secundaria,Sí
IGU-4303,2025-06-12,15:08,15:18,10.1,E28,Daniel Peralta,1537,Insatisfecho,Regular,Poco,"Sí, lo sabía",Sí,Muy buena,Algo cercano,No sabe / No contesta,Probablemente sí,Es un operador del gobierno federal,Seguridad,64,Hombre,Secundaria,Sí
IGU-4304,2025-06-12,10:31,10:46,15.1,E28,Daniel Peralta,1494,Satisfecho,Muy satisfecho,Poco,"No lo sabía, pero me parece bien",Sí,Muy buena,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,32,Hombre,Primaria,No
IGU-4305,2025-06-12,10:02,10:11,9.1,E28,Daniel Peralta,1494,Muy satisfecho,Regular,Algo,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,No,"Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,45,Hombre,Preparatoria,No
IGU-4306,2025-06-12,16:45,16:53,8.2,E28,Daniel Peralta,1494,Insatisfecho,Regular,Algo,"Sí, lo sabía",Sí,Muy buena,Algo cercano,En parte,Probablemente no,No tengo una opinión clara,Salud,66,Hombre,Preparatoria,Sí
IGU-4307,2025-06-12,14:18,14:29,11.1,E17,Sergio Jiménez,1526,Satisfecho,Muy satisfecho,Nada,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,En parte,Probablemente sí,No tengo una opinión clara,Seguridad,67,Hombre,Preparatoria,Sí
IGU-4308,2025-06-12,12:57,13:12,15.2,E17,Sergio Jiménez,1526,Muy satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,Sí,Muy buena,Algo cercano,"Sí, totalmente",No,Es un operador del gobierno federal,Programas sociales,66,Hombre,Secundaria,Sí
IGU-4309,2025-06-12,16:55,17:07,12.4,E17,Sergio Jiménez,1526,Satisfecho,Satisfecho,Algo,No lo sabía y no me interesa,No,No aplica,No sabe / No contesta,"Sí, totalmente",No,Es una persona de trabajo y territorio,Programas sociales,21,Mujer,Primaria,Sí
IGU-4310,2025-06-12,13:22,13:33,11.6,E17,Sergio Jiménez,1495,Muy satisfecho,Insatisfecho,Nada,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Educación,32,Hombre,Preparatoria,Sí
IGU-4311,2025-06-12,10:05,10:18,13.1,E17,Sergio Jiménez,1540,Muy satisfecho,Insatisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,26,Mujer,Preparatoria,Sí
IGU-4312,2025-06-12,13:57,14:04,7.8,E17,Sergio Jiménez,1537,Satisfecho,Insatisfecho,Algo,No sabe / No contesta,No,No aplica,No sabe / No contesta,"Sí, totalmente",Probablemente sí,No tengo una opinión clara,Seguridad,35,Mujer,Universidad,No
IGU-4313,2025-06-12,11:16,11:30,14.5,E06,Roberto Guzmán,1505,Satisfecho,Muy satisfecho,Mucho,"Sí, lo sabía",No,No aplica,Poco cercano,En parte,Probablemente sí,No lo conozco bien,Seguridad,45,Mujer,Posgrado,Sí
IGU-4314,2025-06-12,10:30,10:44,14.2,E06,Roberto Guzmán,1533,Satisfecho,Satisfecho,Nada,"No lo sabía, pero me parece bien",Sí,No sabe / No contesta,No sabe / No contesta,En parte,"Sí, con seguridad",No lo conozco bien,Seguridad,47,Mujer,Posgrado,No
IGU-4315,2025-06-12,13:35,13:46,11.8,E06,Roberto Guzmán,1499,Insatisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,No sabe / No contesta,Muy cercano,En parte,No sabe / No contesta,No lo conozco bien,Empleo / economía,62,Mujer,Universidad,Sí
IGU-4316,2025-06-12,12:12,12:28,16.0,E06,Roberto Guzmán,1505,Satisfecho,Regular,Poco,"Sí, lo sabía",No,No aplica,No sabe / No contesta,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Seguridad,57,Hombre,Universidad,No
IGU-4317,2025-06-12,11:58,12:07,9.6,E06,Roberto Guzmán,1482,Muy satisfecho,Muy satisfecho,Mucho,No sabe / No contesta,Sí,Mala,Algo cercano,No sabe / No contesta,Probablemente sí,Es un operador del gobierno federal,Seguridad,58,Hombre,Preparatoria,Sí
IGU-4318,2025-06-12,11:12,11:28,16.4,E06,Roberto Guzmán,1505,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",No,Es una persona de trabajo y territorio,Seguridad,41,Hombre,Secundaria,No
IGU-4319,2025-06-12,09:48,10:01,13.5,E06,Roberto Guzmán,1484,Muy satisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,Regular,Algo cercano,"Sí, totalmente",No,No lo conozco bien,Educación,69,Mujer,Primaria,No
IGU-4320,2025-06-12,10:21,10:33,12.0,E06,Roberto Guzmán,1562,Muy satisfecho,Regular,Algo,No lo sabía y no me interesa,No,No aplica,Poco cercano,"Sí, totalmente",Probablemente no,No tengo una opinión clara,Programas sociales,37,Hombre,Preparatoria,Sí
IGU-4321,2025-06-12,10:03,10:15,12.9,E06,Roberto Guzmán,1559,Muy satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Algo cercano,No,No,Es una persona de trabajo y territorio,Programas sociales,66,Hombre,Preparatoria,Sí
IGU-4322,2025-06-12,13:44,13:56,12.7,E06,Roberto Guzmán,1505,Muy satisfecho,Satisfecho,Nada,"No lo sabía, pero me parece bien",Sí,Buena,Poco cercano,En parte,"Sí, con seguridad",No tengo una opinión clara,Empleo / economía,63,Hombre,Preparatoria,No
IGU-4323,2025-06-12,11:18,11:34,16.7,E06,Roberto Guzmán,1505,Muy satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",No,No aplica,No sabe / No contesta,En parte,No sabe / No contesta,Es una persona de trabajo y territorio,Seguridad,73,Hombre,Posgrado,No
IGU-4324,2025-06-12,16:19,16:28,9.8,E06,Roberto Guzmán,1480,Satisfecho,Regular,Poco,"Sí, lo sabía",No,No aplica,Algo cercano,En parte,No sabe / No contesta,Es una persona de trabajo y territorio,Seguridad,51,Hombre,Preparatoria,Sí
IGU-4325,2025-06-12,09:58,10:08,10.7,E06,Roberto Guzmán,1505,Satisfecho,Regular,Algo,No lo sabía y no me interesa,Sí,No sabe / No contesta,Muy cercano,En parte,Probablemente no,No lo conozco bien,Educación,56,Hombre,Preparatoria,No
IGU-4326,2025-06-12,16:48,17:04,16.1,E06,Roberto Guzmán,1505,Muy satisfecho,Muy satisfecho,Nada,No lo sabía y no me interesa,Sí,Regular,Algo cercano,En parte,"Sí, con seguridad",Es un operador del gobierno federal,Educación,65,Hombre,Preparatoria,Sí
IGU-4327,2025-06-12,16:44,16:55,11.2,E06,Roberto Guzmán,1533,Muy satisfecho,Satisfecho,Mucho,"No lo sabía, pero me parece bien",No,No aplica,Poco cercano,No,Probablemente sí,Es una persona de trabajo y territorio,Seguridad,21,Mujer,Preparatoria,Sí
IGU-4328,2025-06-12,14:12,14:27,15.7,E06,Roberto Guzmán,1505,Satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,"Sí, totalmente",No sabe / No contesta,No tengo una opinión clara,Empleo / economía,45,Hombre,Secundaria,No
IGU-4329,2025-06-12,10:32,10:50,18.1,E06,Roberto Guzmán,1519,Muy satisfecho,Muy satisfecho,Algo,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No sabe / No contesta,Probablemente no,No lo conozco bien,Seguridad,36,Mujer,Secundaria,Sí
IGU-4330,2025-06-12,11:06,11:17,11.8,E33,Laura Torres,1538,Muy satisfecho,Muy satisfecho,Mucho,No lo sabía y no me interesa,Sí,Regular,Poco cercano,"Sí, totalmente",No sabe / No contesta,Es un operador del gobierno federal,Educación,51,Hombre,Secundaria,Sí
IGU-4331,2025-06-12,11:40,11:55,15.0,E33,Laura Torres,1538,Regular,Insatisfecho,Mucho,"Sí, lo sabía",No,No aplica,No sabe / No contesta,En parte,Probablemente sí,Es un operador del gobierno federal,Seguridad,26,Hombre,Primaria,Sí
